title,authors,isbn13
Howards End,E.M. Forster,9780486424545
Maurice,E.M. Forster,9780393310320
E. M. Forster: A Life,P.N. Furbank,9780156286510
The Sixteen Pleasures,Robert Hellenga,9780385314695
Revolutionary Characters: What Made the Founders Different,Gordon S. Wood,9781594200939
The Rescue (Kidnapped  #3),Gordon Korman,9780439847797
Hunting the Hunter (On the Run  #6),Gordon Korman,9780439651417
Public Enemies (On The Run  #5),Gordon Korman,9780439651400
Runaway Bride,Deborah  Gordon,9780380777587
The Bridge over the Drina,Ivo Andrić/William H. McNeill,9781860460586
Drina Dances in Paris,Jean Estoril,9780750000338
Drina Ballerina,Jean Estoril,9780750005944
Le Pont sur la Drina,Ivo Andrić/Pascale Delpech,9782253933212
Drina Dances in Italy,Jean Estoril,9780750012638
Drina Goes on Tour,Jean Estoril/Mabel Esther Allan,9780750002462
Drina Dances in Madeira,Jean Estoril/Mabel Esther Allan,9780750002424
Phaedrus/Apology/Crito/Symposium,Plato/Benjamin Jowett,9781420926842
The Dialogues of Plato  Volume 1: Euthyphro  Apology  Crito  Meno  Gorgias  Menexenus,Plato/Reginald E. Allen,9780300044881
Gorgias/Timaeus,Plato/Benjamin Jowett,9780486427591
Minor Works: On Colours/On Things Heard/Physiognomics/On Plants/On Marvellous Things Heard/Mechanical Problems/On Indivisible Lines/The...Gorgias,Aristotle/W.S. Hett,9780674993389
Aristophanes I: Clouds/Wasps/Birds,Aristophanes/Peter Meineck/Ian C. Storey,9780872203600
The Trojan Women,Euripides/Gilbert Murray,9781420927320
Greek Tragedies  Volume 2,David Grene/Richmond Lattimore/Aeschylus/Sophocles/Euripides,9780226307756
Moloka'i (Moloka'i #1),Alan Brennert,9780312304355
Teaching with the Brain in Mind,Eric Jensen,9781416600305
Introducing Mind and Brain (Introducing...),Angus Gellatly/Oscar Zárate/Richard Appignanesi,9781840466386
Eva Luna,Isabel Allende/Margaret Sayers Peden,9780553383829
The Stories of Eva Luna,Isabel Allende,9780743217187
Diez Cuentos de Eva Luna Con Guia de Comprension y Repaso de Gramatica,Isabel Allende/Richard D. Woods/Kenneth M. Taggart,9780070013568
El bosque de los pigmeos,Isabel Allende,9780060816193
Inés of My Soul,Isabel Allende/Margaret Sayers Peden,9780061161537
La casa de los espíritus,Isabel Allende,9780060951306
El plan infinito,Isabel Allende,9780060951276
El reino del dragón de oro,Isabel Allende,9780060591717
City of the Beasts (Eagle and Jaguar  #1),Isabel Allende/Margaret Sayers Peden,9780060535032
Self,Yann Martel,9780571219766
Die Brücke über die Drina,Ivo Andrić/Ernst E. Jonas,9783518399606
Drina Dances in Switzerland,Jean Estoril/Jenny Sanders,9780750002448
The Story of Salt,Mark Kurlansky/S.D. Schindler,9780399239984
Nonviolence: Twenty-Five Lessons from the History of a Dangerous Idea,Mark Kurlansky/Dalai Lama XIV,9780679643357
Boogaloo on 2nd Avenue,Mark Kurlansky,9780345448194
Cod: A Biography of the Fish That Changed the World,Mark Kurlansky,9780140275018
1968: The Year That Rocked the World,Mark Kurlansky,9780345455826
A Chosen Few: The Resurrection of European Jewry (Reader's Circle),Mark Kurlansky,9780345448149
The Basque History of the World: The Story of a Nation,Mark Kurlansky,9780140298512
The Cod's Tale,Mark Kurlansky/S.D. Schindler,9780399234767
Open City 6: The Only Woman He Ever Left,Open City Magazine/James Purdy/Daniel Pinchbeck/Michael Cunningham/Deborah Garrison/Rem Koolhaas/Rick Moody/Strawberry Saroyan/Debra Garrison,9781890447175
Harry Potter Y La Piedra Filosofal (Harry Potter  #1),J.K. Rowling,9780613359603
Angle of Repose,Wallace Stegner/Jackson J. Benson,9780141185477
Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,9780321344755
Girlfriend in a Coma,Douglas Coupland,9780060987329
Corelli's Mandolin,Louis de Bernières,9780679763970
Kiffe Kiffe Tomorrow,Faïza Guène/Sarah    Adams,9780156030489
Our Kind of People: Inside America's Black Upper Class,Lawrence Otis Graham,9780060984380
The Senator and the Socialite: The True Story of America's First Black Dynasty,Lawrence Otis Graham,9780060184124
Temptations,Otis Williams/Patricia Romanowski,9780815412182
The Thorn Birds,Colleen McCullough,9780060837556
Caesar (Masters of Rome  #5),Colleen McCullough,9780060510855
Caesar's Women (Masters of Rome  #4),Colleen McCullough,9780380710843
On  Off (Carmine Delmonico  #1),Colleen McCullough,9780743286428
Three Complete Novels: Tim/An Indecent Obsession/The Ladies of Missalonghi,Colleen McCullough,9780517201664
Morgan's Run,Colleen McCullough,9780671024185
The October Horse: A Novel of Caesar and Cleopatra (Masters of Rome  #6),Colleen McCullough,9780671024208
The First Man in Rome (Masters of Rome  #1),Colleen McCullough,9780688093686
The Grass Crown (Masters of Rome  #2),Colleen McCullough,9780380710829
Tim,Colleen McCullough,9780380711963
O'Brien's the Things They Carried,Jill Colella/CliffsNotes,9780764586682
The Five People You Meet in Heaven,Mitch Albom,9781401308582
The Curious Incident of the Dog In the Night-time,Mark Haddon,9780099456766
The Curious Incident of the Dog in the Night-time,Mark Haddon,9780385662239
Northern Lights,Tim O'Brien,9780767904414
If I Die in a Combat Zone  Box Me Up and Ship Me Home,Tim O'Brien,9780767904438
Going After Cacciato,Tim O'Brien,9780767904421
In the Lake of the Woods,Tim O'Brien,9780618709861
The Nuclear Age,Tim O'Brien,9780140259100
The Rescue,Nicholas Sparks,9780446696128
A Bend in the Road,Nicholas Sparks,9780446696135
True Believer (Jeremy Marsh & Lexie Darnell  #1),Nicholas Sparks,9780446696517
Three Weeks With My Brother,Nicholas Sparks/Micah Sparks,9780446694858
The Wedding (The Notebook  #2),Nicholas Sparks,9780446615860
El Guardián,Nicholas Sparks/Ramón González Férriz,9788496284531
Nights in Rodanthe,Nicholas Sparks,9780446691796
Message in a Bottle,Nicholas Sparks,9780446606813
A Walk to Remember,Nicholas Sparks,9780446693806
Icy Sparks,Gwyn Hyman Rubio,9780142000205
Sugarplums and Scandal  (Love at Stake #2.5; Bed-and-Breakfast Mysteries #22.5),Lori Avocato/Dana Cameron/Mary Dahiem/Suzanne Macpherson/Cait London/Kerrelyn Sparks/Mary Daheim,9780061136955
Special Topics in Calamity Physics,Marisha Pessl,9780670037773
The Dictionary of Corporate Bullshit: An A to Z Lexicon of Empty  Enraging  and Just Plain Stupid Office Talk,Lois Beckwith,9780767920742
On Truth,Harry G. Frankfurt/Baruch Spinoza,9780307264220
Twelve Sharp (Stephanie Plum  #12),Janet Evanovich,9780312349486
Sharp Edges,Jayne Ann Krentz,9780671524098
Mrs. Sharp's Traditions: Reviving Victorian Family Celebrations of Comfort & Joy,Sarah Ban Breathnach,9780743210768
The Sly Spy (Olivia Sharp  Agent for Secrets #3),Marjorie Weinman Sharmat/Mitchell Sharmat/Denise Brunkus,9780440420620
The Green Toenails Gang (Olivia Sharp  Agent for Secrets #4),Marjorie Weinman Sharmat/Mitchell Sharmat/Denise Brunkus,9780440420637
The Pizza Monster (Olivia Sharp  Agent for Secrets #1),Marjorie Weinman Sharmat/Mitchell Sharmat/Denise Brunkus,9780440420590
The Spy Who Barked (Adam Sharp #1),George E. Stanley,9780307264121
Kare First Love  Vol. 9 (Kare First Love  #9),Kaho Miyasaka,9781421505473
Kare First Love  Vol. 10 (Kare First Love  #10),Kaho Miyasaka,9781421505480
The Tutor's First Love,George MacDonald/Michael R. Phillips,9780871235961
First Love,Ivan Turgenev/Constance Garnett,9780974607894
Love @ First Site,Jane Moore,9780767916912
First Love  Second Chance,Amanda Clark,9780373706402
The Modern Prince: Charles J. Haughey and the Quest for Power,Justin   O'Brien,9781903582411
The Modern Prince and Other Writings,Antonio Gramsci,9780717801336
Emily of New Moon (Emily  #1),L.M. Montgomery,9780553233704
The Selected Journals Of L.M. Montgomery  Vol. 5: 1935-1942,L.M. Montgomery/Mary Henley Rubio/Elizabeth Hillman Waterston,9780195421163
Against the Odds: Tales of Achievement,L.M. Montgomery/Rea Wilmshurst,9780553565928
Anne of Avonlea,L.M. Montgomery/Susan O'Malley,9780786180301
A Tangled Web,L.M. Montgomery,9780770422455
Pat of Silver Bush (Pat  #1),L.M. Montgomery,9780770422479
Sherlock Holmes: The Complete Novels and Stories  Volume I,Arthur Conan Doyle,9780553212419
The New Annotated Sherlock Holmes: The Complete Short Stories,Arthur Conan Doyle/Leslie S. Klinger,9780393059168
The New Annotated Sherlock Holmes: The Novels,Arthur Conan Doyle/Leslie S. Klinger,9780393058000
The Science of Sherlock Holmes: From Baskerville Hall to the Valley of Fear  the Real Forensics Behind the Great Detective's Greatest Cases,E.J. Wagner,9780471648796
Sherlock Holmes: A Baker Street Dozen,Arthur Conan Doyle/John Gielgud/Ralph Richardson/Orson Welles,9781598870299
Sherlock Holmes: The Unauthorized Biography,Nick Rennison,9780871139474
Murder by Moonlight & Other Mysteries (New Adventures of Sherlock Holmes 19-24),NOT A BOOK,9780743564670
The Mysteries of Sherlock Holmes,Arthur Conan Doyle/Paul Bachem,9780448409573
The Complete Adventures and Memoirs of Sherlock Holmes,Arthur Conan Doyle,9780517174968
The Unfortunate Tobacconist & Other Mysteries (Sherlock Holmes 1-6),NOT A BOOK,9780743533959
Personal Finance For Dummies,Eric Tyson,9780470038321
Personal Finance for Dummies,Eric Tyson/Rich Tennant,9780764525902
Catching Alice,Clare Naylor,9780449005576
The Dream Giver,Bruce H. Wilkinson/David Kopp/Heather Harpham Kopp,9781590522011
The Giver (The Giver  #1),Lois Lowry,9780385732550
The Wish Giver: Three Tales of Coven Tree,Bill Brittain/Andrew Glass,9780064401685
Indian Givers: How the Indians of the Americas Transformed the World,Jack Weatherford,9780449904961
The Last Life,Claire Messud,9780156011655
The Hunters,Claire Messud,9780330488150
When the World Was Steady,Claire Messud,9780964561106
The Sea,John Banville,9781400097029
The Book of Evidence (The Freddie Montgomery Trilogy #1),John Banville,9780375725234
Athena (The Freddie Montgomery Trilogy #3),John Banville,9780679736851
Doctor Copernicus  (The Revolutions Trilogy #1),John Banville,9780679737995
Shroud (The Cleave Trilogy #2),John Banville,9780375725302
Ghosts,John Banville,9780330371858
On Beauty,Zadie Smith,9780143037743
A Great and Terrible Beauty (Gemma Doyle #1),Libba Bray,9780689875342
The Black Book of Hollywood Beauty Secrets,Kym Douglas/Cindy Pearlman,9780452287655
Black Beauty,Anna Sewell,9780439228909
Truth and Beauty,Ann Patchett,9780060572150
The Life of Graham Greene  Vol. 1: 1904-1939,Norman Sherry,9780142004203
Complete Short Stories,Graham Greene/Pico Iyer,9780143039105
The Power and the Glory,Graham Greene/John Updike,9780142437308
The Heart of the Matter,Graham Greene,9780099478423
Orient Express,Graham Greene/Christopher Hitchens,9780142437919
Journey Without Maps,Graham Greene/Paul Theroux,9780143039723
The Quiet American,Graham Greene/Robert  Stone,9780143039020
Collected Short Stories,Graham Greene,9780140186123
The Third Man & The Fallen Idol,Graham Greene,9780140185331
The Tenth Man,Graham Greene,9780671019099
The Autograph Man,Zadie Smith,9780375703874
White Teeth,Zadie Smith,9780375703867
Stranger than Fiction,Chuck Palahniuk,9780385722223
Great Short Works of Herman Melville,Herman Melville/Warner Berthoff,9780060586546
Selected Poems of Herman Melville,Herman Melville/Robert Penn Warren,9781567922691
Redburn / White-Jacket / Moby-Dick,Herman Melville/G. Thomas Tanselle,9780940450097
Pierre / Israel Potter / The Piazza Tales / The Confidence-Man / Uncollected Prose / Billy Budd,Herman Melville/Harrison Hayford,9780940450240
Redburn,Herman Melville/Harold Beaver,9780140431056
Typee / Omoo / Mardi,Herman Melville/G. Thomas Tanselle,9780940450004
Harriet Spies Again (Harriet the Spy Adventures  #1),Helen Ericson,9780440416883
Harriet the Spy  Double Agent (Harriet the Spy Adventures),Maya Gold,9780385327879
Moonraker (James Bond  #3),Ian Fleming,9780142002063
Moonraker's Bride,Madeleine Brent,9780449235942
Dr No / Moonraker / Thunderball / From Russia with Love / On Her Majesty's Secret Service / Goldfinger,Ian Fleming,9780862731588
Casino Royale (James Bond  #1),Ian Fleming,9780142002025
Goldfinger (James Bond  #7),Ian Fleming,9780142002049
On Her Majesty's Secret Service (James Bond  #11),Ian Fleming,9780142003251
Octopussy & the Living Daylights (James Bond  #14),Ian Fleming,9780142003299
Book of Sketches,Jack Kerouac/George Condo,9780142002155
The Dharma Bums,Jack Kerouac,9780141184883
Book of Haikus,Jack Kerouac,9781904634003
The Subterraneans,Jack Kerouac,9780141184890
Ballet Shoes,Noel Streatfeild,9781842552476
Theater Shoes (Shoes  #4),Noel Streatfeild/Diane Goode,9780679854340
Movie Shoes (Shoes  #6),Noel Streatfeild,9780440458159
Party Shoes (Shoes  #5),Noel Streatfeild,9780192752536
Thursday's Child (Margaret Thursday  #1),Noel Streatfeild,9780440486879
Miss Happiness and Miss Flower,Rumer Godden/Gary Blythe,9781405088565
The River,Rumer Godden,9780330489997
The Dolls' House,Rumer Godden/Christian Birmingham,9780330442558
China Court: The Hours of a Country House,Rumer Godden,9780688117221
Rumer Godden,Anne Chisholm,9780330367479
The Corrections,Jonathan Franzen,9781841156736
Creative Correction: Extraordinary Ideas For Everyday Discipline,Lisa Whelchel/Stormie Omartian,9781589971288
Original Sin (Adam Dalgliesh #9),P.D. James,9780446679220
Original Sin: Illuminating the Riddle,Henri Blocher,9780830826056
An Original Sin,Nina Bangs,9780505523242
Death in Holy Orders (Adam Dalgliesh  #11),P.D. James/Christa Seibicke,9780345446664
The Lighthouse (Adam Dalgliesh #13),P.D. James,9780307275738
Unnatural Causes (Adam Dalgliesh #3),P.D. James,9780571204106
Death of an Expert Witness (Adam Dalgliesh #6),P.D. James,9780571204205
A Mind To Murder (Adam Dalgliesh  #2),P.D. James,9780571204151
A Taste for Death (Adam Dalgliesh  #7),P.D. James,9781400096473
Time To Be In Earnest: A Fragment Of Autobiography,P.D. James,9780345442123
Cover Her Face (Adam Dalgliesh #1),P.D. James,9780743219570
The Black Tower (Adam Dalgliesh #5),P.D. James,9780743219617
Innocent Blood,P.D. James,9780743219631
Don Quixote,Miguel de Cervantes Saavedra/Edith Grossman/Harold Bloom,9780060934347
Lectures on Don Quixote,Vladimir Nabokov/Fredson Bowers/Guy Davenport/Miguel de Cervantes Saavedra/Samuel Putnam,9780156495400
Cliffs Notes on Cervantes' Don Quixote,Marianne Sturman,9780822004158
Desert Heat (Joanna Brady  #1),J.A. Jance,9780727861153
Kentucky Heat,Fern Michaels,9780821773680
Heat Wave: A Social Autopsy of Disaster in Chicago,Eric Klinenberg,9780226443225
Texas Heat (Texas  #2),Fern Michaels,9780345449603
Primal Heat (Includes: Breeds  #8.5; Devlin Dynasty  #1; Moon Lust  #1),Lora Leigh/Sherri L. King/Lorie O'Clare/Jaci Burton,9781843607403
Heat and Dust,Ruth Prawer Jhabvala,9781582430157
Holy Cow: An Indian Adventure,Sarah Macdonald,9780767915748
Holy Cows and Hog Heaven: The Food Buyer's Guide to Farm Friendly Food,Joel Salatin/Michael Pollan,9780963810946
The History of Love,Nicole Krauss,9780393328622
A Brief History of Time,Stephen Hawking,9780553380163
The Politically Incorrect Guide to American History,Thomas E. Woods Jr.,9780895260475
A History of the World in 6 Glasses,Tom Standage,9780802715524
A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam,Karen Armstrong,9780517223123
The Sun Also Rises,Ernest Hemingway/William Hurt,9780743564410
The Bon Appetit Cookbook,Barbara Fairchild,9780764596865
The Barefoot Contessa Cookbook,Ina Garten/Melanie Acevedo,9780609602195
Into a Paris Quartier: Reine Margot's Chapel and Other Haunts of St. Germain,Diane Johnson,9780792272663
Sylvia,Leonard Michaels/Diane Johnson,9780374271077
The Life Of Dashiell Hammett,Diane Johnson,9780701127664
Divorcio a la Francesa: Le Divorce,Diane Johnson/Carlos Milla Soler/Roberto Fernandez Sastre,9788420466552
London is the Best City in America,Laura Dave,9780670037568
Hyperion (Los Cantos de Hyperion  #1),Dan Simmons/Carlos Alberto Gardini,9788466617352
The Fall of Hyperion (Hyperion Cantos  #2),Dan Simmons,9780747236047
Supreme Power: Hyperion,J. Michael Straczynski/Dan Jurgens,9780785118954
Die Hyperion-Gesänge,Dan Simmons/Joachim Körber,9783453215283
La Chute d'Hypérion II,Dan Simmons/Guy Abadia,9782266111577
Endymion,Dan Simmons/Guy Abadia,9782221089569
Olympos (Ilium  #2),Dan Simmons,9780380817931
Ilium (Ilium  #1),Dan Simmons,9780380817924
The Terror,Dan Simmons,9780316017442
Worlds Enough & Time: Five Tales of Speculative Fiction,Dan Simmons,9780060506049
Hard Freeze (Joe Kurtz  #2),Dan Simmons,9780312989484
Endymion (Hyperion Cantos  #3),Dan Simmons,9780553572940
A Winter Haunting (Seasons of Horror  #2),Dan Simmons,9780380817160
The Amazing Adventures of Kavalier & Clay,Michael Chabon,9780312282998
The Amazing Adventures of the Escapist: Volume 1,Michael Chabon/Glen David Gold/Bill Sienkiewicz/Howard Chaykin/Gene Colan/Steve Lieber/Eric Wight/Kevin  McCarthy,9781593071714
The Great House of God,Max Lucado,9780849942983
The Devil and Miss Prym (On the Seventh Day  #3),Paulo Coelho/Amanda Hopkinson/Nick Caistor,9780060527990
Nine Stories,J.D. Salinger,9780316767729
The Sun Rises: and Other Questions About Time and Seasons,Brenda Walpole,9780753459645
American Psycho,Bret Easton Ellis,9780330484770
Lunar Park,Bret Easton Ellis,9780375727276
The Burden of Proof (Kindle County Legal Thriller #2),Scott Turow,9780446677127
Godless,Pete Hautman,9781416908166
That Godless Court?: Supreme Court Decisions on Church-State Relationships,Ronald B. Flowers,9780664228910
Soul Mates: Honouring the Mysteries of Love and Relationship,Thomas  Moore,9780060925758
Soul Mates & Twin Flames: The Spiritual Dimension of Love & Relationships (Pocket Guide to Practical Spirituality),Elizabeth Clare Prophet,9780922729487
Hot Chocolate for the Mystical Lover: 101 True Stories of Soul Mates Brought Together by Divine Intervention,Arielle Ford/Deepak Chopra,9780452282179
Man's Search for Meaning,Viktor E. Frankl/Harold S. Kushner/William J. Winslade/Isle Lasch,9780807014295
In Search of Memory: The Emergence of a New Science of Mind,Eric R. Kandel,9780393058635
Search Engine Optimization for Dummies,Peter Kent,9780471979982
The Pragmatic Programmer: From Journeyman to Master,Andy Hunt/Dave Thomas,9780201616224
Behind Closed Doors: Secrets of Great Management,Johanna Rothman/Esther Derby,9780976694021
Blink 182,Anne Hoppus,9780859653237
I Blink: And Other Questions About My Body,Brigid Avison,9780753456101
The Great Good Thing (The Sylvie Cycle  #1),Roderick Townley,9780689837142
The Great Good Place: Cafes  Coffee Shops  Bookstores  Bars  Hair Salons  and Other Hangouts at the Heart of a Community,Ray Oldenburg,9781569246818
Built to Last: Successful Habits of Visionary Companies,James C. Collins/Jerry I. Porras,9780060566104
I Like You: Hospitality Under the Influence,Amy Sedaris,9780446578844
Children Playing Before a Statue of Hercules,David Sedaris/Richard Yates/Dorothy Parker/Joyce Carol Oates/Lorrie Moore/Flannery O'Connor/Amy Hempel/Akhil   Sharma/Tim Johnston/Tobias Wolff/Sarah Vowell/Charles Baxter/Jhumpa Lahiri/Katherine Mansfield/Alice Munro/Jean Thompson/Frank Gannon/Patricia Highsmith/Jincy Willett,9780743276122
Bringing Down The House,Ben Mezrich,9780099468233
Read for Your Life: 11 Ways to Better Yourself Through Books,Pat Williams/Peggy Matthews Rose,9780757305450
The Hip-Hop Church: Connecting with the Movement Shaping Our Culture,Efrem Smith/Phil   Jackson,9780830833290
The Final Season: Fathers  Sons  and One Last Season in a Classic American Ballpark,Tom Stanton,9780312291563
The Cold Six Thousand (Underworld USA #2),James Ellroy,9780375727405
Schiffbruch mit Zuschauer. Paradigma einer Daseinsmetapher,Hans Blumenberg,9783518222638
The Guide to Dan Brown's the Solomon Key,Greg  Taylor,9780875168166
The Illuminati Papers,Robert Anton Wilson,9781579510022
El código Da Vinci (Robert Langdon  #2),Dan Brown/Juanjo Estrella,9788495618603
Truth and Fiction in The Da Vinci Code: A Historian Reveals What We Really Know about Jesus  Mary Magdalene & Constantine,Bart D. Ehrman,9780195307139
Housekeeping vs. the Dirt,Nick Hornby/Sarah Vowell/Jess Walter/Jennie Erdal/Joshua Ferris,9781932416596
The Polysyllabic Spree,Nick Hornby,9781932416244
Songbook,Nick Hornby,9781573223560
My Favorite Year: A Collection of Football Writing,Nick Hornby/D.J. Taylor/Huw Richards/Chris Pierson/Roddy Doyle/Harry Ritchie/Harry Pearson/Olly Wicken/Graham Brack/Matt Nation/Ed Horton/Don  Watson,9780753814413
Fever Pitch,Nick Hornby,9781573226882
High Fidelity,Nick Hornby,9781573228213
About a Boy,Nick Hornby,9780141007335
The Complete Polysyllabic Spree,Nick Hornby,9780670916665
Medicus (Gaius Petreius Ruso  #1),Ruth Downie,9781596912311
Middlesex Borough (Images of America: New Jersey),Middlesex Borough Heritage Committee,9780738511672
David Foster Wallace's Infinite Jest: A Reader's Guide,Stephen J. Burn,9780826414779
Scar Tissue,Anthony Kiedis,9781401301019
Monsieur Ibrahim et les fleurs du Coran,Éric-Emmanuel Schmitt,9782226126269
Zaat,Sonallah Ibrahim/صنع الله إبراهيم/Anthony Calderbank,9789774248443
Dreamland,Sarah Dessen,9780142401750
End Game (Dreamland  #8),Dale Brown/Jim DeFelice,9780060094423
H. P. Lovecraft's Dreamlands (Call of Cthulhu RPG),Chris  Williams/Sandy Petersen,9781568821573
Dreamland (Dreamland  #1),Dale Brown/Jim DeFelice,9780007109661
Satan's Tail (Dreamland  #7),Dale Brown/Jim DeFelice,9780060094416
The Zanzibar Chest,Aidan Hartley,9781594480119
Dispatches from the Edge: A Memoir of War  Disasters  and Survival,Anderson Cooper,9780061132384
Dispatches,Michael Herr,9780679735250
Dispatch,Bentley Little,9780451216779
Dispatches from the Tenth Circle: The Best of the Onion,Robert D. Siegel/Todd Hanson/Carol Kolb/The Onion,9780609808344
Hello! Is That Grandma?,Ian Whybrow/Deborah Allwright,9780439944397
How Much is That Guinea Pig in the Window?,Joanne Rocklin/Meredith Johnson,9780590227162
My War Gone By  I Miss It So,Anthony Loyd,9780140298543
Night Draws Near: Iraq's People in the Shadow of America's War,Anthony Shadid,9780312426033
Maximum City: Bombay Lost and Found,Suketu Mehta,9780375703409
Catfish and Mandala: A Two-Wheeled Voyage Through the Landscape and Memory of Vietnam,Andrew X. Pham,9780312267179
When Broken Glass Floats: Growing Up Under the Khmer Rouge,Chanrithy Him,9780393322101
First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,9780060856267
Fahrenheit 451,Ray Bradbury/Christopher Hurt,9780786176274
Los funerales de la Mamá Grande,Gabriel García Márquez,9780307350329
Collected Novellas,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,9780060932664
The Grapes of Wrath,John Steinbeck/Robert DeMott/Mick Wiggins,9780143039433
CliffsNotes on Steinbeck's The Grapes of Wrath,Kelly McGrath Vlcek/CliffsNotes/John Steinbeck,9780764585968
American Gods,Neil Gaiman,9780060010607
American Gospel: God  the Founding Fathers  and the Making of a Nation,Jon Meacham,9781400065554
American Gods (American Gods  #1),Neil Gaiman,9780747263746
East of Eden,John Steinbeck,9780142004234
Eden in the East: The Drowned Continent of Southeast Asia,Stephen Oppenheimer,9780753806791
East Of Eden,John Steinbeck,9780553116083
Who Was John F. Kennedy?,Yona Zeldis McDonough/Nancy Harrison/Jill Weber,9780448437439
The Radical Right & the Murder of John F. Kennedy: Stunning Evidence in the Assassination of the President,Harrison Edward Livingstone,9781412040556
An Unfinished Life: John F. Kennedy  1917-1963,Robert Dallek,9780316907927
Sellevision,Augusten Burroughs,9781843543640
Dry,Augusten Burroughs,9781843541851
Running with Scissors,Augusten Burroughs,9781843544852
People of the Lie: The Hope for Healing Human Evil,M. Scott Peck,9780684848594
The Road Less Traveled: A New Psychology of Love  Traditional Values  and Spiritual Growth,M. Scott Peck,9780743243155
The Adventures of Sherlock Holmes,Arthur Conan Doyle,9781842055069
A Prayer for Owen Meany,John Irving,9780679642596
Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande/Susanne Kuhlmann-Krieg,9780312421700
Sad Underwear and Other Complications: More Poems for Children and Their Parents,Judith Viorst/Richard  Hull,9780689833762
Bridget Jones: The Edge Of Reason (Bridget Jones #2),Helen Fielding,9780330367349
Bridget Jones's Guide to Life,Helen Fielding,9780142000212
Las luces de septiembre (Niebla  #3),Carlos Ruiz Zafón,9788423671267
A Framework for Understanding Poverty,Ruby K. Payne,9781929229482
El príncipe de la niebla (Trilogía de la Niebla  #1),Carlos Ruiz Zafón,9780061284380
The Shadow of the Wind,Carlos Ruiz Zafón/Lucia Graves,9780753819319
Ruby for Rails: Ruby Techniques for Rails Developers,David A. Black/David Heinemeier Hansson,9781932394696
About the B'nai Bagels,E.L. Konigsburg,9780440400349
The Far Side of Evil,Sylvia Engdahl,9780142402931
Enchantress from the Stars,Sylvia Engdahl/Lois Lowry,9780142500378
Everything Is Illuminated,Jonathan Safran Foer,9780060792176
Extremely Loud and Incredibly Close,Jonathan Safran Foer,9780618711659
Genome: the Autobiography of a Species in 23 Chapters,Matt Ridley,9780060894085
Bioinformatics: Sequence and Genome Analysis,David W. Mount,9780879697129
The Genome War: How Craig Venter Tried to Capture the Code of Life and Save the World,James Shreeve,9780345433749
Carter Beats the Devil,Glen David Gold,9780786886326
Moo  Baa  La La La!,Sandra Boynton,9780689861130
Click  Clack  Moo: Cows That Type,Doreen Cronin/Betsy Lewin,9780743461511
Dooby Dooby Moo,Doreen Cronin/Betsy Lewin,9780689845079
Moo,Jane Smiley,9782743604912
Sailor Moo: Cow at Sea,Lisa Wheeler/Ponder Goembel,9780689842191
CliffsNotes on Heller's Catch-22,Charles A. Peek/CliffsNotes/Joseph Heller,9780822002963
Catch-22,Joseph Heller,9780099477310
Geisha,Liza Dalby,9780520204959
Does Anything Eat Wasps?: And 101 Other Unsettling  Witty Answers to Questions You Never Thought You Wanted to Ask,New Scientist/Mick O'Hare,9780743297264
Chronik eines angekündigten Todes,Gabriel García Márquez/Curt Meyer-Clason,9783462031959
The Complete Short Stories of Ernest Hemingway,Ernest Hemingway/John Hemingway/Patrick Hemingway/Gregory H. Hemingway/Charles Scribner Jr.,9780684843322
Hemingway & Bailey's Bartending Guide to Great American Writers,Mark Bailey/Edward Hemingway,9781565124820
For Whom The Bell Tolls,Ernest Hemingway,9780099481560
A Moveable Feast,Ernest Hemingway,9780099285045
Islands in the Stream,Ernest Hemingway,9780743253420
Berlin Blues,Sven Regener/John Brownjohn,9780099449232
The Short Stories,Ernest Hemingway,9780684837864
Hemingway's Cats: An Illustrated Biography,Carlene Fredericka Brennen/Hilary Hemingway,9781561643424
The Ernest Hemingway Audio Collection,Ernest Hemingway/Charlton Heston,9780694524983
Until I Find You,John Irving,9780552773126
The Imaginary Girlfriend,John Irving,9780345458261
The Fourth Hand,John Irving,9780345463159
The Water-Method Man,John Irving,9780345418005
Setting Free the Bears,John Irving,9780345417985
The 158-Pound Marriage,John Irving,9780345417961
A Life in Letters,F. Scott Fitzgerald/Matthew J. Bruccoli,9780684801537
On Authorship,F. Scott Fitzgerald/Matthew J. Bruccoli/Judith S. Baughman,9781570031465
The St. Paul Stories of F. Scott Fitzgerald,F. Scott Fitzgerald/Dave Page/Patricia Hampl,9780873515122
Tender is the Night,F. Scott Fitzgerald/Arnold Goldman/Richard Godden,9780141183596
The Great Gatsby,Kathleen Parkinson/F. Scott Fitzgerald,9780140771978
Cliffs Notes on Fitzgerald's the Great Gatsby,Kate Maurer/F. Scott Fitzgerald/CliffsNotes,9780764586019
Limitations (Kindle County Legal Thriller #7),Scott Turow,9780312426453
Reversible Errors (Kindle County Legal Thriller #6),Scott Turow,9780446612623
The Laws Of Our Fathers (Kindle County Legal Thriller #4),Scott Turow,9780446604406
Personal Injuries (Kindle County Legal Thriller #5),Scott Turow,9780446608602
One L: The Turbulent True Story of a First Year at Harvard Law School,Scott Turow,9780446673785
