title,authors,isbn13
ebay Timesaving Techniques for Dummies,Marsha Collier,9780764559914
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,9780764584381
Ruby Cookbook,Lucas Carlson/Leonard Richardson,9780596523695
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,9780806523491
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,9780806525365
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,9780596527310
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,9780143035008
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,9780822001836
Dinner with Anna Karenina,Gloria Goldreich,9780778322276
Tolstoy: Anna Karenina,Anthony Thorlby,9780521313254
Untouchable,Mulk Raj Anand/E.M. Forster,9780140183955
The Untouchable,John Banville,9780679767473
The Untouchables,Eliot Ness/Oscar Fraley,9781568491981
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,9780743270793
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,9780932863058
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,9780742508804
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,9780205358625
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,9781557344038
Wrinkles in Time,George Smoot/Keay Davidson,9780380720446
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,9780821925324
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,9780439271691
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,9780606105262
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,9780751506433
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,9780060786717
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,9780743499347
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,9780765313409
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,9781400032495
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,9781400032488
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,9781400032464
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,9780679732525
I am Charlotte Simmons,Tom Wolfe,9780312424442
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,9780806930770
The Puffin Book of Nonsense Verse,Quentin Blake,9780140366600
Henry Miller on Writing,Henry Miller/Thomas H. Moore,9780811201124
Quiet Days in Clichy,Henry Miller,9780802130167
Tropic of Cancer,Henry Miller/Jiří Níl,9780802131782
Tropic of Capricorn,Henry Miller,9780802151827
Nexus (The Rosy Crucifixion  #3),Henry Miller,9780802151780
Sexus (The Rosy Crucifixion  #1),Henry Miller,9780802151803
The Air-Conditioned Nightmare,Henry Miller,9780811201063
The Portrait of a Lady,Henry James/Patricia Crick,9780141439631
Writing,Marguerite Duras,9781571290533
The War,Marguerite Duras/Barbara Bray,9781565842212
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,9780394743042
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,9781851681822
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,9781566562492
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,9780140195538
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,9780394431246
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,9780806501901
Sand and Foam,Kahlil Gibran/جبران خليل جبران,9780679439202
Treasure Island,Robert Louis Stevenson,9780753453803
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,9781577658054
100 Years of Lynchings,Ralph Ginzburg,9780933121188
Cien años de soledad,Gabriel García Márquez,9780785950103
On Beyond Zebra!,Dr. Seuss,9780394800844
The Wedding Clause,Debbie Raleigh,9780821778258
The Zebra Wall,Kevin Henkes,9780060733032
El perfume: Historia de un asesino,Patrick Süskind,9788432216060
The Door Into Summer,Robert A. Heinlein,9780345413994
Stranger in a Strange Land,Robert A. Heinlein,9780441788385
To Sail Beyond the Sunset,Robert A. Heinlein,9780441748600
Job: A Comedy of Justice,Robert A. Heinlein,9780345316509
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,9780765314932
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,9780671742515
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,9780345455291
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,9780345476517
Douglas Adams's Starship Titanic,Terry Jones,9780345368430
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,9781417622856
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,9780573650963
On Bullshit,Harry G. Frankfurt,9780691122946
Another Bullshit Night in Suck City,Nick Flynn,9780393329407
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,9780671867423
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,9780395883976
Underworld,Don DeLillo,9780684848150
Libra,Don DeLillo,9780140156041
Americana,Don DeLillo,9780140119480
Running Dog,Don DeLillo,9780679722946
Cosmopolis,Don DeLillo,9780743244251
Great Jones Street,Don DeLillo,9780140179170
The Names,Don DeLillo,9780679722953
Against the Day,Thomas Pynchon,9781594201202
V.,Thomas Pynchon,9780060930219
The Crying of Lot 49,Thomas Pynchon,9780060931674
Gravity's Rainbow,Thomas Pynchon,9780140283389
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,9780312423209
Vineland,Thomas Pynchon,9780141180632
Slow Learner: Early Stories,Thomas Pynchon,9780316724432
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,9780140189308
The Year of Magical Thinking,Joan Didion,9781400043149
The White Album,Joan Didion,9780374522216
A Book of Common Prayer,Joan Didion,9780679754862
Where I Was From,Joan Didion,9780679752868
Slouching Towards Bethlehem,Joan Didion,9780374521721
Democracy,Joan Didion,9780679754855
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,9780307264879
Play It As It Lays,Joan Didion/David Thomson,9780374529949
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,9780143039839
City of Glass (The New York Trilogy  #1),Paul Auster,9780140097313
Ghosts (The New York Trilogy  #2),Paul Auster,9780140097351
The Locked Room (The New York Trilogy  #3),Paul Auster,9780940650763
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,9780963188922
The Brooklyn Follies,Paul Auster,9780312426231
Moon Palace,Paul Auster,9780140115857
The Music of Chance,Paul Auster,9780140154078
Travels in the Scriptorium,Paul Auster,9780805081459
Leviathan,Paul Auster,9780140178135
The Red Notebook: True Stories,Paul Auster,9780811214988
Timbuktu / Leviathan / Moon Palace,Paul Auster,9782742741465
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,9780143036555
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,9780446579780
Collapse of Complex Societies,Joseph A. Tainter,9780521386739
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,9780743203043
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,9780345438713
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,9780393318289
My Inventions,Nikola Tesla,9781599869940
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,9780806519609
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,9780822549208
Tesla Papers,Nikola Tesla/David Hatcher Childress,9780932813862
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,9780373792689
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,9780974514055
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,9780764585975
Lord of the Flies,William Golding,9780307281708
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,9780812969702
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,9780060255084
The Lovely Bones,Alice Sebold,9780330485388
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,9780345360359
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,9780321430847
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,9783822840856
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,9780743264464
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,9780743236010
Vice (V  #8),Jane Feather,9780553572490
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,9780060589462
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,9780802789471
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,9780688060695
Motorcycle Basics Techbook,John Harold Haynes,9781859605158
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,9781592530878
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,9780451528803
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,9780192833983
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,9780486451381
Atlas Shrugged,Ayn Rand/Leonard Peikoff,9780452011878
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,9780451163080
The Fountainhead,Ayn Rand,9780452286757
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,9780451163936
Anthem,Ayn Rand,9780452281257
We the Living,Ayn Rand/Leonard Peikoff,9780451187840
Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,9780451147950
Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,9780452274044
Sailing for Dummies,J.J. Isler/Peter Isler,9780471791430
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,9780553803815
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,9780375755194
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,9781592283194
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,9780975599518
The Natural,Bernard Malamud/Kevin Baker,9780374502003
Digging to America,Anne Tyler,9780307263940
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,9780312405540
Modern Latin America,Thomas E. Skidmore/Peter H. Smith,9780195170139
The Plot Against America,Philip Roth,9781400079490
Naked Pictures of Famous People,Jon   Stewart,9780688171629
Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,9780060932688
Crónica de una muerte anunciada,Gabriel García Márquez,9781400034956
Del amor y otros demonios,Gabriel García Márquez,9780307350442
Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,9781400034543
Memoria de mis putas tristes,Gabriel García Márquez,9781400095803
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,9780375708114
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,9780861714926
The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,9781843535843
Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,9781740594776
Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,9788408064763
Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,9781740592055
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,9780618710539
Cryptonomicon,Neal Stephenson,9780060512804
Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,9782228894166
The Confusion (The Baroque Cycle  #2),Neal Stephenson,9780060733353
Quicksilver (The Baroque Cycle  #1),Neal Stephenson,9780060593087
The Cobweb,Neal Stephenson/J. Frederick George,9780553383447
The Big U,Neal Stephenson,9780380816033
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,9780553380965
Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,9780553383430
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,9780060833183
Snow Crash,Neal Stephenson/Guy Abadia,9780553380958
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,9781880685358
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,9781880685334
The Design of Everyday Things,Donald A. Norman,9780465067107
Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,9780465051366
The Psychology of Everyday Things,Donald A. Norman,9780465067091
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,9780898709193
